Sexo;Estado Civil;Discapacidad;Departamento Nacimiento;Programa;Facultad;Tipo Plan;PROMEDIO_1er_SEMESTRE;PROMEDIO_2do_SEMESTRE;Desertor;Cantidad de materias vistas;Promedio de las materias;Cantidad de materias perdidas;Cantidad de creditos inscritos;Semestre Ubicación
Femenino;Soltero(a);Ninguna;Meta;comunicación social - periodismo;comunicación social;2;3.73;3.67;No;62;3.8980357142857134;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.67;3.91;No;64;3.96;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.5;3.53;No;65;3.764576271186441;4.0;165.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.44;3.62;No;69;3.5845;6.0;171.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.0;3.9;No;61;4.094545454545455;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.8;3.96;No;65;3.8181818181818175;0.0;156.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.76;3.45;No;64;3.8444827586206896;3.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.74;3.63;No;63;3.798421052631579;2.0;162.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.78;3.45;No;64;3.800172413793103;3.0;164.0;9.0
Femenino;Soltero(a);Ninguna;Meta;comunicación social - periodismo;comunicación social;2;3.9;3.98;No;65;3.826140350877193;3.0;164.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;4.07;3.87;No;65;4.015789473684211;4.0;168.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.87;4.04;No;62;4.108867924528302;1.0;159.0;9.0
Femenino;Soltero(a);Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;3.91;3.91;No;61;4.047358490566038;0.0;156.0;9.0
