ID_SNIES;Sexo;Estado Civil;Etnia;Discapacidad;Departamento Nacimiento;Programa;Facultad;Tipo Plan;Nombre Plan;PROMEDIO_1er_SEMESTRE;PROMEDIO_2do_SEMESTRE;Desertor;Semestre Ingreso;Edad Ingreso;Cantidad de materias vistas;Cantidad de cursos libres reprobados;Cantidad de cursos libres aprobados;Promedio de las materias;Cantidad de materias perdidas;Cantidad de creditos inscritos;Semestre Ubicación;Desertor Predicción;Probabilidad de deserción
11803-1110;Femenino;Soltero(a);No pertenece;Ninguna;Meta;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,73;3,67;No;1;17;62;0,0;6,0;3,8980357142857134;1,0;159,0;9,0;No;0,0
1055-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,67;3,91;No;1;17;64;0,0;6,0;3,96;1,0;159,0;9,0;No;0,0
1118-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,5;3,53;No;1;15;65;0,0;6,0;3,764576271186441;4,0;165,0;9,0;No;0,0
4703-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,44;3,62;No;1;19;69;2,0;6,0;3,5845;6,0;171,0;9,0;No;0,0
4990-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;4,0;3,9;No;1;18;61;0,0;6,0;4,094545454545455;0,0;156,0;9,0;No;0,0
5031-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,8;3,96;No;1;17;65;0,0;6,0;3,8181818181818175;0,0;156,0;9,0;No;0,0
5046-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,76;3,45;No;1;17;64;0,0;6,0;3,8444827586206896;3,0;162,0;9,0;No;0,0
5058-1110;Femenino;Soltero(a);No informa;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,74;3,63;No;1;17;63;0,0;6,0;3,798421052631579;2,0;162,0;9,0;No;0,0
5067-1110;Femenino;Soltero(a);No pertenece;Ninguna;Bogotá D.C.;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,78;3,45;No;1;17;64;0,0;6,0;3,800172413793103;3,0;164,0;9,0;No;0,0
5150-1110;Femenino;Soltero(a);No pertenece;Ninguna;Meta;comunicación social - periodismo;comunicación social;2;comunicacion social y periodismo;3,9;3,98;No;1;17;65;1,0;6,0;3,826140350877193;3,0;164,0;9,0;No;0,0
